p,V,ap+,cp+,T+,Z,cV+,s+,a+,n,n+
1.414,0.01285,1.262,2.936,1.081,0.926,1.572,0.5787,1.315,77.823,0.07043
2.828,0.00581,1.743,3.756,1.209,0.838,1.651,0.5314,1.372,172.106,0.15575
4.899,0.00277,3.273,6.362,1.596,0.690,1.726,0.4329,1.520,361.630,0.32727
6.928,0.00137,7.756,15.060,2.619,0.485,3.922,0.6820,1.211,728.341,0.65913
8.944,0.00080,8.349,17.898,1.413,0.367,-0.193,-0.0152,-,1242.808,1.12471
12.247,0.00061,3.866,10.913,0.580,0.381,1.079,0.0573,4.177,1636.560,1.48104
17.321,0.00052,1.788,7.181,0.288,0.460,2.078,0.0834,3.463,1918.594,1.73628
28.284,0.00047,1.124,5.860,0.207,0.671,1.764,0.0623,4.007,2148.491,1.94434
48.990,0.00042,0.690,4.991,0.174,1.044,2.127,0.0740,3.677,2390.920,2.16373
69.282,0.00039,0.536,4.698,0.165,1.392,2.281,0.0803,3.529,2536.152,2.29516
89.443,0.00038,0.452,4.551,0.163,1.723,2.392,0.0855,3.419,2644.782,2.39346
